"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Overcast,0,0,0,0,0,0,7.8,16.1,2014/11/07 07:52:00,2014,11,07,07,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,16.1,2014/11/07 08:27:00,2014,11,07,08,27,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,16.1,2014/11/07 08:52:00,2014,11,07,08,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,11.3,2014/11/07 09:27:00,2014,11,07,09,27,00,America/New_York
Light Rain,0,0,1,0,0,0,7.2,6.4,2014/11/07 09:38:00,2014,11,07,09,38,00,America/New_York
Overcast,0,0,0,0,0,0,6.7,16.1,2014/11/07 09:52:00,2014,11,07,09,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/07 10:03:00,2014,11,07,10,03,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/07 10:29:00,2014,11,07,10,29,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/07 10:52:00,2014,11,07,10,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,16.1,2014/11/07 11:52:00,2014,11,07,11,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,16.1,2014/11/07 12:43:00,2014,11,07,12,43,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/07 12:52:00,2014,11,07,12,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/07 13:52:00,2014,11,07,13,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.3,16.1,2014/11/07 14:52:00,2014,11,07,14,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,16.1,2014/11/07 15:52:00,2014,11,07,15,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/07 16:52:00,2014,11,07,16,52,00,America/New_York
Overcast,0,0,0,0,0,0,6.7,16.1,2014/11/07 17:52:00,2014,11,07,17,52,00,America/New_York
Overcast,0,0,0,0,0,0,5.6,16.1,2014/11/07 18:52:00,2014,11,07,18,52,00,America/New_York
Overcast,0,0,0,0,0,0,5.6,16.1,2014/11/07 19:52:00,2014,11,07,19,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,4.4,16.1,2014/11/07 20:52:00,2014,11,07,20,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,3.3,16.1,2014/11/07 21:52:00,2014,11,07,21,52,00,America/New_York
