"did", "sht_temperature", "bmp_temperature", "illuminance", "bmp_pressure", "sht_humidity", "battery_voltage", "charge_flags_charge", "charge_flags_fault", "solar_voltage", "wind_direction", "wind_speed", "date"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue May 20 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed May 21 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu May 22 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri May 23 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat May 24 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun May 25 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon May 26 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue May 27 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed May 28 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu May 29 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri May 30 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat May 31 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Jun 01 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon Jun 02 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue Jun 03 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed Jun 04 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu Jun 05 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Jun 06 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Jun 07 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Jun 08 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon Jun 09 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue Jun 10 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed Jun 11 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu Jun 12 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Jun 13 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Jun 14 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Jun 15 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Mon Jun 16 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Tue Jun 17 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Wed Jun 18 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Thu Jun 19 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","1254","1251","1255","1257","1258","1256","1252","1253","-999","-999","-999","Fri Jun 20 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4084","4084","4084","4084","4084","4084","4084","4084","-999","-999","-999","Sat Jun 21 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3955","3955","3955","3955","3956","3955","3955","3955","-999","-999","-999","Sun Jun 22 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4108","4108","4108","4108","4108","4108","4108","4108","-999","-999","-999","Mon Jun 23 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4011","4011","4011","4011","4011","4011","4011","4011","-999","-999","-999","Tue Jun 24 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4103","4103","4103","4103","4103","4103","4103","4103","-999","-999","-999","Wed Jun 25 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","1563","1563","1563","1563","1563","1563","1563","1563","-999","-999","-999","Thu Jun 26 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Jun 27 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Jun 28 2014 00:00:00 GMT-0400 (EDT)"
